method,m,n,k,trials,successes,failures,success_rate
CoSaMP,200,1000,2,500,500,0,1.0
CoSaMP,200,1000,4,500,496,4,0.992
CoSaMP,200,1000,6,500,494,6,0.988
CoSaMP,200,1000,8,500,494,6,0.988
CoSaMP,200,1000,10,500,486,14,0.972
CoSaMP,200,1000,12,500,486,14,0.972
CoSaMP,200,1000,14,500,483,17,0.966
CoSaMP,200,1000,16,500,473,27,0.946
CoSaMP,200,1000,18,500,477,23,0.954
CoSaMP,200,1000,20,500,468,32,0.936
CoSaMP,200,1000,22,500,466,34,0.932
CoSaMP,200,1000,24,500,465,35,0.93
CoSaMP,200,1000,26,500,456,44,0.912
CoSaMP,200,1000,28,500,462,38,0.924
CoSaMP,200,1000,30,500,445,55,0.89
CoSaMP,200,1000,32,500,444,56,0.888
CoSaMP,200,1000,34,500,447,53,0.894
CoSaMP,200,1000,36,500,444,56,0.888
CoSaMP,200,1000,38,500,439,61,0.878
CoSaMP,200,1000,40,500,438,62,0.876
CoSaMP,200,1000,42,500,443,57,0.886
CoSaMP,200,1000,44,500,424,76,0.848
CoSaMP,200,1000,46,500,412,88,0.824
CoSaMP,200,1000,48,500,398,102,0.796
CoSaMP,200,1000,50,500,372,128,0.744
CoSaMP,200,1000,52,500,357,143,0.714
CoSaMP,200,1000,54,500,319,181,0.638
CoSaMP,200,1000,56,500,314,186,0.628
CoSaMP,200,1000,58,500,274,226,0.548
CoSaMP,200,1000,60,500,267,233,0.534
CoSaMP,200,1000,62,500,40,460,0.08
CoSaMP,200,1000,64,500,0,500,0.0
CoSaMP,200,1000,66,500,0,500,0.0
CoSaMP,200,1000,68,500,0,500,0.0
CoSaMP,200,1000,70,500,0,500,0.0
CoSaMP,200,1000,72,500,0,500,0.0
CoSaMP,200,1000,74,500,0,500,0.0
CoSaMP,200,1000,76,500,0,500,0.0
CoSaMP,200,1000,78,500,0,500,0.0
CoSaMP,200,1000,80,500,0,500,0.0
CoSaMP,200,1000,82,500,0,500,0.0
CoSaMP,200,1000,84,500,0,500,0.0
CoSaMP,200,1000,86,500,0,500,0.0
CoSaMP,200,1000,88,500,0,500,0.0
CoSaMP,200,1000,90,500,0,500,0.0
CoSaMP,200,1000,92,500,0,500,0.0
CoSaMP,200,1000,94,500,0,500,0.0
CoSaMP,200,1000,96,500,0,500,0.0
CoSaMP,200,1000,98,500,0,500,0.0
CoSaMP,200,1000,100,500,0,500,0.0
CoSaMP,200,1000,102,500,0,500,0.0
CoSaMP,200,1000,104,500,0,500,0.0
CoSaMP,200,1000,106,500,0,500,0.0
CoSaMP,200,1000,108,500,0,500,0.0
CoSaMP,200,1000,110,500,0,500,0.0
CoSaMP,200,1000,112,500,0,500,0.0
CoSaMP,200,1000,114,500,0,500,0.0
CoSaMP,200,1000,116,500,0,500,0.0
CoSaMP,200,1000,118,500,0,500,0.0
CoSaMP,200,1000,120,500,0,500,0.0
